Category,Statement,Level 1,Level 2,Level 3,Level 4,Level 5
Flow & Delivery,The team uses flow metrics to improve,No metrics used.,Metrics occasionally referenced.,Metrics stable and reviewed.,Metrics drive experiments.,Flow optimisation proactive and systemic.
Flow & Delivery,Bottlenecks are identified and addressed,Bottlenecks persist.,Bottlenecks noticed but ignored.,Team alleviates bottlenecks.,Data-driven bottleneck analysis.,System constraints anticipated and mitigated.
Flow & Delivery,Forecasting uses historical data,Forecasts are guesses or commitments.,Some data used inconsistently.,Evidence-based probabilistic forecasting.,Forecasts reliable and aligned.,Team teaches others responsible forecasting.
Flow & Delivery,The team delivers small incremental slices of value,Large items dominate; big bang.,Some splitting but inconsistent.,Stories are small and releasable.,Slicing optimises feedback.,Ultra-thin slicing drives rapid learning.
Technical Excellence,Automated tests exist at appropriate levels,Little/no automation; painful regression.,Inconsistent unit tests.,Automated tests cover main paths.,Tests drive design; reduce lead time.,Evolving test strategy; quality continuously improves.
Technical Excellence,Refactoring and improvement routine,Tech debt ignored.,Refactoring happens only when forced.,Improvement built into workflow.,Data-driven reduction of hotspots.,Continuous improvement is team identity.
Technical Excellence,Pairing/mobbing used for complex work,Individuals work alone.,Pairing rare.,Intentional pairing/mobbing.,Collaboration optimised for risk and quality.,Collaboration style fluid and adaptive.
Technical Excellence,CI/CD pipelines allow safe frequent deployments,Manual and risky.,Partially automated.,Reliable CI/CD.,High-frequency safe deployments.,On-demand deployments; team influences org DevOps.
Technical Excellence,Code reviews focus on learning not gatekeeping,"Slow, blamey or superficial.",Quality varies by reviewer.,Constructive and timely.,Improves standards and architecture.,Review process is learning engine.
Discovery & User Insight,The team validates assumptions with users,No validation.,Occasional validation.,Routine discovery for risky items.,Multiple discovery techniques used.,Discovery drives strategy and backlog.
Discovery & User Insight,Usability and accessibility considered early,Usability ignored.,Design fixes issues late.,UX integrated into development.,Proactive usability testing.,Experience quality is signature strength.
Discovery & User Insight,Discovery activities continuous,Discovery only upfront.,Irregular discovery.,Built into team cadence.,Discovery adapted to context.,Continuous discovery equals continuous delivery.
Discovery & User Insight,Hypotheses explicitly tested,Assumptions implicit.,Some assumptions documented.,Hypotheses and success criteria defined.,Hypotheses tracked and reviewed.,Hypothesis-driven development embedded.
Discovery & User Insight,Design thinking integrated,No design thinking.,Designer involvement late.,Designers collaborate throughout.,Co-creation with users.,Design maturity influences org.
Ways of Working & Events,Events achieve clear outcomes,Events skipped or hollow.,Events inconsistent.,Events produce decisions or insights.,Events efficient and adaptive.,Event formats innovated for maximum value.
Ways of Working & Events,The team inspects and adapts regularly,No retros.,Retros infrequent or ineffective.,Retros produce action.,Improvements tracked and celebrated.,Continuous improvement proactive and systemic.
Ways of Working & Events,Working agreements defined and used,No agreements.,Agreements ignored.,Agreements guide behaviour.,Regular refinement.,Dynamic agreements based on context.
Ways of Working & Events,Impediments surfaced and tracked,Impediments ignored.,Logged but not resolved.,Tracked and resolved regularly.,Effective escalation and follow-up.,Systemic impediments eliminated proactively.
Ways of Working & Events,Team maintains predictable cadence,Chaos and thrash.,Inconsistent cadence.,Reliable cadence.,Cadence used to optimise flow.,Cadence is strategic alignment tool.
Leadership & Org Support,Leaders remove systemic impediments,Leaders cause impediments.,Slow responses.,Leaders act on escalations.,Leaders identify impediments proactively.,Leaders champion organisational improvement.
Leadership & Org Support,Leaders shield team from thrash,Constant interruptions.,Some protection.,Team protected from unplanned work.,Leaders negotiate to reduce thrash.,Stability is strategic priority.
Leadership & Org Support,Funding supports long-lived teams,Project-based resource churn.,Partial stability.,Stable teams standard.,Funding supports product thinking.,Org optimised around persistent teams.
Leadership & Org Support,Leaders model agile behaviours,Command-and-control.,"Say agile, act waterfall.",Leaders behave consistently.,Leaders practice servant leadership.,Leadership fosters empowerment and learning.
Leadership & Org Support,Org policies support iteration,Heavy governance blocks.,Some exceptions.,Policies support iteration.,Governance evolves with agile.,Lightweight adaptive governance institutionalised.
Architecture & Systems Thinking,Team understands architecture enough to make safe changes,Changes regularly break things.,Understanding partial.,Understanding sufficient.,Knowledge actively shared.,Architecture evolves safely and intentionally.
Architecture & Systems Thinking,Architecture decisions collaborative,Architecture dictated.,Team consulted rarely.,Team participates.,Collaborative iterative decision-making.,Teams influence org architecture strategy.
Architecture & Systems Thinking,Architecture evolves incrementally,Big bang rewrites.,Inconsistent incremental attempts.,Incremental evolution standard.,Decisions tested empirically.,Safe continuous evolution aligned with strategy.
Architecture & Systems Thinking,Technical strategy visible and aligned,No strategy; chaos.,Strategy unknown.,Strategy visible and referenced.,Strategy evolves with insights.,Co-created strategy across teams.
Architecture & Systems Thinking,System risks proactively identified,Risks discovered too late.,Reactive risk identification.,Risks identified during planning.,Risk management data-driven.,Org learns from patterns and improves.
Cross-Team Collaboration & Dependencies,Dependencies visible and managed,Hidden dependencies cause chaos.,Noted but unmanaged.,Tracked and discussed.,Resolved early through coordination.,Proactive systemic dependency management.
Cross-Team Collaboration & Dependencies,Team participates in cross-team planning,Plans in isolation.,Occasional reactive alignment.,Regular cross-team planning.,Continuous effective alignment.,Shared roadmap co-creation.
Cross-Team Collaboration & Dependencies,Upstream/downstream collaboration effective,Regular blocking from other teams.,Some collaboration but delays.,Issues resolved efficiently.,Early collaboration prevents blockers.,Fluid trust-based collaboration.
Cross-Team Collaboration & Dependencies,Shared components have clear ownership,Ownership unclear.,Partially defined.,Clear ownership and SLAs.,Collaborative improvement of shared assets.,Shared ecosystem evolves cohesively.
Cross-Team Collaboration & Dependencies,Team understands greater value stream,No understanding.,Basic awareness.,Understands upstream & downstream impacts.,Contributes to value stream improvement.,Optimises system-level flow.
